goos: darwin
goarch: arm64
pkg: github.com/thebeginner86/hippocampus/handlers
BenchmarkHandlers-8   	   12219	     92750 ns/op	  158457 B/op	      21 allocs/op
BenchmarkHandlers-8   	   11648	    102147 ns/op	  158462 B/op	      21 allocs/op
BenchmarkHandlers-8   	   11428	    102887 ns/op	  158462 B/op	      21 allocs/op
BenchmarkHandlers-8   	   11544	    103573 ns/op	  158462 B/op	      21 allocs/op
BenchmarkHandlers-8   	   11668	    102516 ns/op	  158462 B/op	      21 allocs/op
BenchmarkHandlers-8   	   11365	    103592 ns/op	  158463 B/op	      21 allocs/op
BenchmarkHandlers-8   	   11667	    104430 ns/op	  158463 B/op	      21 allocs/op
BenchmarkHandlers-8   	   11566	    103532 ns/op	  158462 B/op	      21 allocs/op
BenchmarkHandlers-8   	   11288	    108161 ns/op	  158462 B/op	      21 allocs/op
BenchmarkHandlers-8   	   11456	    105608 ns/op	  158463 B/op	      21 allocs/op
BenchmarkHandlers-8   	   11364	    103922 ns/op	  158463 B/op	      21 allocs/op
BenchmarkHandlers-8   	   11506	    103652 ns/op	  158463 B/op	      21 allocs/op
BenchmarkHandlers-8   	   11623	    104365 ns/op	  158463 B/op	      21 allocs/op
BenchmarkHandlers-8   	   11324	    103506 ns/op	  158463 B/op	      21 allocs/op
BenchmarkHandlers-8   	   11486	    106310 ns/op	  158463 B/op	      21 allocs/op
BenchmarkHandlers-8   	   11473	    104238 ns/op	  158463 B/op	      21 allocs/op
BenchmarkHandlers-8   	   11451	    104723 ns/op	  158463 B/op	      21 allocs/op
BenchmarkHandlers-8   	   11431	    105162 ns/op	  158462 B/op	      21 allocs/op
BenchmarkHandlers-8   	   11396	    104633 ns/op	  158462 B/op	      21 allocs/op
BenchmarkHandlers-8   	   11712	    104383 ns/op	  158463 B/op	      21 allocs/op
BenchmarkHandlers-8   	   11592	    105296 ns/op	  158463 B/op	      21 allocs/op
BenchmarkHandlers-8   	   11712	    104553 ns/op	  158463 B/op	      21 allocs/op
BenchmarkHandlers-8   	   11656	    104070 ns/op	  158463 B/op	      21 allocs/op
BenchmarkHandlers-8   	   11600	    104067 ns/op	  158463 B/op	      21 allocs/op
BenchmarkHandlers-8   	   11665	    104617 ns/op	  158462 B/op	      21 allocs/op
BenchmarkHandlers-8   	   11566	    103021 ns/op	  158462 B/op	      21 allocs/op
PASS
ok  	github.com/thebeginner86/hippocampus/handlers	204.448s
